Code AGB;Code CIQUAL;Groupe d aliment;Sous-groupe d aliment;Nom du Produit en Français;LCI Name;DQR;Nom et code;Agriculture;Transformation;Emballage;Transport;Supermarché et distribution;Consommation;Total;Agriculture;Transformation;Emballage;Transport;Supermarché et distribution;Consommation;Total;Agriculture;Transformation;Emballage;Transport;Supermarché et distribution;Consommation;Total;Agriculture;Transformation;Emballage;Transport;Supermarché et distribution;Consommation;Total;Agriculture;Transformation;Emballage;Transport;Supermarché et distribution;Consommation;Total;Agriculture;Transformation;Emballage;Transport;Supermarché et distribution;Consommation;Total;Agriculture;Transformation;Emballage;Transport;Supermarché et distribution;Consommation;Total;Agriculture;Transformation;Emballage;Transport;Supermarché et distribution;Consommation;Total;Agriculture;Transformation;Emballage;Transport;Supermarché et distribution;Consommation;Total;Agriculture;Transformation;Emballage;Transport;Supermarché et distribution;Consommation;Total;Agriculture;Transformation;Emballage;Transport;Supermarché et distribution;Consommation;Total;Agriculture;Transformation;Emballage;Transport;Supermarché et distribution;Consommation;Total;Agriculture;Transformation;Emballage;Transport;Supermarché et distribution;Consommation;Total;Agriculture;Transformation;Emballage;Transport;Supermarché et distribution;Consommation;Total;Agriculture;Transformation;Emballage;Transport;Supermarché et distribution;Consommation;Total;Agriculture;Transformation;Emballage;Transport;Supermarché et distribution;Consommation;Total;Agriculture;Transformation;Emballage;Transport;Supermarché et distribution;Consommation;Total;DQR Overall;P;TiR;GR;TeR
11084;11084;aides culinaires et ingrédients divers;algues;Agar (algue). cru;Seaweed. agar. raw;2.99;Agar (algue). cru (11084);0.65481156;0.50098699;0.024443288;0.046249903;0.0049809591;0.00040673207;1.23187943217;4.5692586;1.4924151;0.29025198;0.38440419;0.020134715;0.0099427296;6.7664073146;7.6757285E-07;1.5899032E-07;7.1357182E-09;8.1255763E-08;1.8989674E-09;7.1315485E-11;1.016924934085E-06;0.93885018;9.982356;0.030019486;0.02665928;0.07211511;2.2187683E-05;11.050022243683;0.028507864;0.0039427958;0.0008125935;0.0055496209;5.2372604E-05;1.0086317E-05;0.038875333121;0.00060554538;8.271613E-05;7.8561649E-06;2.0164485E-05;9.3824449E-07;7.095566E-08;0.00071729136005;5.3928811E-05;1.6054781E-05;1.4851674E-06;2.3225807E-06;4.6429129E-07;1.018866E-07;7.435751799E-05;0.00052613606;9.1496413E-05;8.224807E-06;2.025438E-05;1.9176871E-06;2.3738806E-07;0.00064826673516;0.083649207;0.0073452763;0.00093867601;0.0076967039;9.7104685E-05;6.3492452E-06;0.0997333171402;0.0013955373;0.0003691687;7.4506113E-05;2.0862678E-05;6.1464551E-06;1.7117434E-06;0.0018679329895;0.0092187853;0.0019378546;0.00020147111;0.0018883077;2.2134847E-05;1.1546026E-05;0.013280099583;0.0898215;0.014419345;0.0019207973;0.020949736;0.00021185403;2.6659864E-05;0.127349892194;38.532593;3.5450328;0.57172884;1.6966218;0.16329093;0.045885459;44.555152829;15.520658;7.4742645;1.2359371;2.1477888;0.09144539;0.0060959541;26.4761897441;2.674996;0.14638298;0.23810067;0.011758886;0.030901569;0.00034717621;3.10248728121;84.630141;217.83092;5.5934674;5.3279753;1.6684715;0.0061879459;315.0571631459;0.07015867;0.01499394;0.0010434052;0.00089931172;0.00046033748;2.009424E-06;0.087557673824;2.99;3.51;1.32;4.33;2.79
11023;11023;aides culinaires et ingrédients divers;herbes;Ail séché. poudre;Garlic. powder. dried;4.11;Ail séché. poudre (11023);0.032661045;0;0.050708751;0.015276922;0.0045028964;0;0.1031496144;0.066043008;0;0.47839023;0.18926756;0.015708527;0;0.749409325;9.2470881E-09;0;6.7746599E-08;4.3997084E-08;1.6488507E-09;0;1.226396218E-07;0.03350872;0;0.05328769;0.014892766;0.069636646;0;0.171325822;0.00035282088;0;0.0020115894;0.00052293596;3.7902394E-05;0;0.002925248634;6.2983001E-06;0;6.0230942E-05;1.5229688E-05;7.2358885E-07;0;8.248251895E-05;3.6293365E-06;0;5.9334812E-06;1.8357286E-06;3.2628782E-07;0;1.172483412E-05;1.5384787E-05;0;2.2338868E-05;7.4112555E-06;1.4867162E-06;0;4.66216267E-05;0.0010093994;0;0.0045130621;0.00062484984;7.4499442E-05;0;0.006221810782;2.9615258E-05;0;7.7328017E-05;1.2704745E-05;4.2269221E-06;0;0.0001238749421;0.0015053276;0;0.00066558335;0.00013264355;1.624631E-05;0;0.00231980081;0.0035994347;0;0.0075128455;0.0014497724;0.00013264803;0;0.01269470063;2.1708838;0;2.5875691;0.99960411;0.074062856;0;5.832119866;13.182698;0;4.9600183;2.0030602;0.077875714;0;20.223652214;2.3786534;0;0.1027791;0.0096339293;0.029461465;0;2.5205278943;1.243266;0;6.9527313;2.87878;1.5906692;0;12.6654465;0.0020304167;0;0.0034641284;0.00067056824;0.00043967784;0;0.00660479118;4.11;4.27;4.39;2.79;5
11000;11000;aides culinaires et ingrédients divers;herbes;Ail. cru;Garlic. fresh;3.54;Ail. cru (11000);0.040826307;0;0;0.014071064;0.0056286204;0.0032877509;0.0638137423;0.08255376;0;0;0.17356263;0.019635659;0.080370398;0.356122447;1.155886E-08;0;0;4.0282221E-08;2.0610634E-09;5.7646684E-10;5.447861124E-08;0.0418859;0;0;0.013680167;0.087045808;0.00017935044;0.14279122544;0.0004410261;0;0;0.00049727395;4.7377993E-05;8.1531065E-05;0.001067209108;7.8728751E-06;0;0;1.3914512E-05;9.0448606E-07;5.7355825E-07;2.326543141E-05;4.5366707E-06;0;0;1.677601E-06;4.0785978E-07;8.2358334E-07;7.44571482E-06;1.9230984E-05;0;0;6.8393177E-06;1.8583952E-06;1.9188868E-06;2.98475837E-05;0.0012617493;0;0;0.00059864157;9.3124302E-05;5.1323065E-05;0.002004838237;3.7019073E-05;0;0;1.1730892E-05;5.2836526E-06;1.3836593E-05;6.78702106E-05;0.0018816595;0;0;0.00012802069;2.0307887E-05;9.3330378E-05;0.002123318455;0.0044992934;0;0;0.0014002739;0.00016581003;0.00021550056;0.00628087789;2.7136047;0;0;0.91524126;0.09257857;0.37090746;4.09233199;16.478372;0;0;1.8296221;0.097344643;0.049275629;18.454614372;2.9733168;0;0;0.0088031481;0.036826831;0.002806341;3.0217531201;1.5540825;0;0;2.637749;1.9883365;0.05001923;6.23018723;0.0025380209;0;0;0.00061356241;0.00054959731;1.6242844E-05;0.003717423464;3.54;2.74;4.28;2.8;4.34
11093;11093;aides culinaires et ingrédients divers;herbes;Aneth. frais;Dill. fresh;3.75;Aneth. frais (11093);0.082932651;0;0.027220866;0.013011423;0.0056286204;0.0032877509;0.1320813113;0.22251419;0;0.32945583;0.16296786;0.019635659;0.080370398;0.814943937;1.4258163E-08;0;7.8750468E-09;3.7904332E-08;2.0610634E-09;5.7646684E-10;6.267507204E-08;0.0080995599;0;0.033092285;0.012924714;0.087045808;0.00017935044;0.14134171734;0.0011247469;0;0.00089742471;0.00040742279;4.7377993E-05;8.1531065E-05;0.002558503458;4.5612873E-05;0;8.6671201E-06;1.3209387E-05;9.0448606E-07;5.7355825E-07;6.896742441E-05;7.5493698E-06;0;1.6444331E-06;1.5938481E-06;4.0785978E-07;8.2358334E-07;1.201909412E-05;4.2664115E-05;0;9.0872877E-06;6.3684729E-06;1.8583952E-06;1.9188868E-06;6.18971576E-05;0.006456659;0;0.0010359321;0.00047500056;9.3124302E-05;5.1323065E-05;0.008112039027;9.101316E-05;0;8.2134133E-05;1.1165537E-05;5.2836526E-06;1.3836593E-05;0.0002034330756;0.0036141871;0;0.0002237708;9.8803681E-05;2.0307887E-05;9.3330378E-05;0.004050399846;0.027599986;0;0.0021237392;0.0010764117;0.00016581003;0.00021550056;0.03118144749;3.721855;0;0.63224937;0.86375189;0.09257857;0.37090746;5.68134229;33.11881;0;1.3631515;1.74514;0.097344643;0.049275629;36.373721772;4.9816296;0;0.26246869;0.0083897955;0.036826831;0.002806341;5.2921212575;1.8648139;0;6.1663413;2.4835978;1.9883365;0.05001923;12.55310873;0.0024799896;0;0.001150324;0.00058267086;0.00054959731;1.6242844E-05;0.004778824614;3.75;2.74;3.62;4.33;4.33
20995;20995;aides culinaires et ingrédients divers;algues;Ao-nori (Enteromorpha sp.). séchée ou déshydratée;Sea lettuce (Enteromorpha sp.). dried or dehydrated;2.99;Ao-nori (Enteromorpha sp.). séchée ou déshydratée (20995);0.65481156;0.50098699;0.024443288;0.046249903;0.0049809591;0.00040673207;1.23187943217;4.5692586;1.4924151;0.29025198;0.38440419;0.020134715;0.0099427296;6.7664073146;7.6757285E-07;1.5899032E-07;7.1357182E-09;8.1255763E-08;1.8989674E-09;7.1315485E-11;1.016924934085E-06;0.93885018;9.982356;0.030019486;0.02665928;0.07211511;2.2187683E-05;11.050022243683;0.028507864;0.0039427958;0.0008125935;0.0055496209;5.2372604E-05;1.0086317E-05;0.038875333121;0.00060554538;8.271613E-05;7.8561649E-06;2.0164485E-05;9.3824449E-07;7.095566E-08;0.00071729136005;5.3928811E-05;1.6054781E-05;1.4851674E-06;2.3225807E-06;4.6429129E-07;1.018866E-07;7.435751799E-05;0.00052613606;9.1496413E-05;8.224807E-06;2.025438E-05;1.9176871E-06;2.3738806E-07;0.00064826673516;0.083649207;0.0073452763;0.00093867601;0.0076967039;9.7104685E-05;6.3492452E-06;0.0997333171402;0.0013955373;0.0003691687;7.4506113E-05;2.0862678E-05;6.1464551E-06;1.7117434E-06;0.0018679329895;0.0092187853;0.0019378546;0.00020147111;0.0018883077;2.2134847E-05;1.1546026E-05;0.013280099583;0.0898215;0.014419345;0.0019207973;0.020949736;0.00021185403;2.6659864E-05;0.127349892194;38.532593;3.5450328;0.57172884;1.6966218;0.16329093;0.045885459;44.555152829;15.520658;7.4742645;1.2359371;2.1477888;0.09144539;0.0060959541;26.4761897441;2.674996;0.14638298;0.23810067;0.011758886;0.030901569;0.00034717621;3.10248728121;84.630141;217.83092;5.5934674;5.3279753;1.6684715;0.0061879459;315.0571631459;0.07015867;0.01499394;0.0010434052;0.00089931172;0.00046033748;2.009424E-06;0.087557673824;2.99;3.51;1.32;4.33;2.79
20998;20998;aides culinaires et ingrédients divers;algues;Ascophylle noueux ou goémon noir (Ascophyllum nodosum). séché ou déshydraté;North Atlantic rockweed (Ascophyllum nodosum). dried or dehydrated;2.99;Ascophylle noueux ou goémon noir (Ascophyllum nodosum). séché ou déshydraté (20998);0.65481156;0.50098699;0.024443288;0.019621411;0.0049809591;0.00040673207;1.20525094017;4.5692586;1.4924151;0.29025198;0.19892614;0.020134715;0.0099427296;6.5809292646;7.6757285E-07;1.5899032E-07;7.1357182E-09;4.4473304E-08;1.8989674E-09;7.1315485E-11;9.80142475085E-07;0.93885018;9.982356;0.030019486;0.014627818;0.07211511;2.2187683E-05;11.037990781683;0.028507864;0.0039427958;0.0008125935;0.0016048816;5.2372604E-05;1.0086317E-05;0.034930593821;0.00060554538;8.271613E-05;7.8561649E-06;1.3445777E-05;9.3824449E-07;7.095566E-08;0.00071057265205;5.3928811E-05;1.6054781E-05;1.4851674E-06;1.5968007E-06;4.6429129E-07;1.018866E-07;7.363173799E-05;0.00052613606;9.1496413E-05;8.224807E-06;8.92122E-06;1.9176871E-06;2.3738806E-07;0.00063693357516;0.083649207;0.0073452763;0.00093867601;0.0021748618;9.7104685E-05;6.3492452E-06;0.0942114750402;0.0013955373;0.0003691687;7.4506113E-05;1.1720032E-05;6.1464551E-06;1.7117434E-06;0.0018587903435;0.0092187853;0.0019378546;0.00020147111;0.00051988516;2.2134847E-05;1.1546026E-05;0.011911677043;0.0898215;0.014419345;0.0019207973;0.0057569673;0.00021185403;2.6659864E-05;0.112157123494;38.532593;3.5450328;0.57172884;0.97186334;0.16329093;0.045885459;43.830394369;15.520658;7.4742645;1.2359371;1.6490607;0.09144539;0.0060959541;25.9774616441;2.674996;0.14638298;0.23810067;0.0081842545;0.030901569;0.00034717621;3.09891264971;84.630141;217.83092;5.5934674;2.9030883;1.6684715;0.0061879459;312.6322761459;0.07015867;0.01499394;0.0010434052;0.00059303514;0.00046033748;2.009424E-06;0.087251397244;2.99;3.51;1.32;4.33;2.79
37000;37000;aides culinaires et ingrédients divers;ingrédients divers;Base de pizza à la crème;cream sauce for pizza base;2.89;Base de pizza à la crème (37000);0.13497021;0.062259881;0.010959246;0.0092317423;0.0048315303;0;0.2222526096;1.4380756;0.29648764;0.11005412;0.11603438;0.019530673;0;1.980182413;3.1291076E-08;3.1677229E-08;1.3369876E-08;2.7095451E-08;1.8419984E-09;0;1.052756304E-07;0.050272914;0.58831575;0.012062298;0.0090891336;0.069951657;0;0.7296917526;0.002260641;0.00078937322;0.00038477108;0.00028270836;5.0801426E-05;0;0.003768295086;0.00010875548;1.6836035E-05;8.5537557E-06;9.414229E-06;9.1009715E-07;0;0.00014446959685;3.4611243E-05;1.0593918E-05;1.0458317E-06;1.1364755E-06;4.5036255E-07;0;4.783783075E-05;9.2991977E-05;4.2122869E-05;5.850845E-06;4.4646317E-06;1.8601565E-06;0;0.0001472904792;0.016266722;0.0021173037;0.00053948072;0.00033205629;9.4191544E-05;0;0.019349754254;0.00015564512;9.3506447E-05;4.9435382E-05;7.64468E-06;5.9620615E-06;0;0.0003121936905;0.00525889;0.0010905738;0.00028678358;6.7543463E-05;2.1470801E-05;0;0.006725261644;0.070878858;0.0057107532;0.0017533;0.00073630125;0.00020549841;0;0.07928471086;16.449989;1.8785097;0.74904925;0.61552137;0.1583922;0;19.85146152;89.04859;4.0841563;4.7124858;1.2419343;0.088702028;0;99.175868428;0.46247476;-0.12245846;0.036697442;0.0059249199;0.029974522;0;0.4126131839;3.1028061;15.376407;1.4944396;1.7690354;1.6184174;0;23.3611055;0.003196685;0.012501263;0.00051238783;0.00041384322;0.00044652735;0;0.0170707064;2.89;2.99;2.76;3.19;2.62
37002;37002;aides culinaires et ingrédients divers;ingrédients divers;Base de pizza tomatée;Tomato sauce for pizza base;3.19;Base de pizza tomatée (37002);0.082123727;0.032739901;0.010959246;0.015897768;0.0048315303;0;0.1465521723;0.23297293;0.16802913;0.11005412;0.19066785;0.019530673;0;0.721254703;3.5870027E-08;1.7759078E-08;1.3369876E-08;4.368119E-08;1.8419984E-09;0;1.125221694E-07;0.045885195;0.42709811;0.012062298;0.015415713;0.069951657;0;0.570412973;0.0013906062;0.00040761869;0.00038477108;0.00066355428;5.0801426E-05;0;0.002897351676;3.7847186E-05;9.7731685E-06;8.5537557E-06;1.5077914E-05;9.1009715E-07;0;7.216212135E-05;3.236391E-05;4.6754601E-06;1.0458317E-06;1.8119568E-06;4.5036255E-07;0;4.034752115E-05;7.4853957E-05;1.1880436E-05;5.850845E-06;7.8977136E-06;1.8601565E-06;0;0.0001023431081;0.0052725887;0.0012778647;0.00053948072;0.00081175931;9.4191544E-05;0;0.007995884974;7.9242317E-05;3.0825309E-05;4.9435382E-05;1.4006046E-05;5.9620615E-06;0;0.0001794711155;0.002727125;0.00095259424;0.00028678358;0.00018339885;2.1470801E-05;0;0.004171372471;0.021686408;0.0045452166;0.0017533;0.0020097979;0.00020549841;0;0.03020022091;7.115606;1.0408475;0.74904925;0.99767528;0.1583922;0;10.06157023;51.295453;3.0679716;4.7124858;1.9685878;0.088702028;0;61.133200228;3.6963644;0.077014173;0.036697442;0.0097179607;0.029974522;0;3.8497684977;4.8817901;10.494809;1.4944396;2.8858445;1.6184174;0;21.3753006;0.0043471305;0.00099879125;0.00051238783;0.00066996214;0.00044652735;0;0.00697479907;3.19;2.74;3.27;2.25;4.52
11033;11033;aides culinaires et ingrédients divers;herbes;Basilic. frais;Basil. fresh;3.75;Basilic. frais (11033);0.082932651;0;0.027220866;0.013011423;0.0056286204;0.0032877509;0.1320813113;0.22251419;0;0.32945583;0.16296786;0.019635659;0.080370398;0.814943937;1.4258163E-08;0;7.8750468E-09;3.7904332E-08;2.0610634E-09;5.7646684E-10;6.267507204E-08;0.0080995599;0;0.033092285;0.012924714;0.087045808;0.00017935044;0.14134171734;0.0011247469;0;0.00089742471;0.00040742279;4.7377993E-05;8.1531065E-05;0.002558503458;4.5612873E-05;0;8.6671201E-06;1.3209387E-05;9.0448606E-07;5.7355825E-07;6.896742441E-05;7.5493698E-06;0;1.6444331E-06;1.5938481E-06;4.0785978E-07;8.2358334E-07;1.201909412E-05;4.2664115E-05;0;9.0872877E-06;6.3684729E-06;1.8583952E-06;1.9188868E-06;6.18971576E-05;0.006456659;0;0.0010359321;0.00047500056;9.3124302E-05;5.1323065E-05;0.008112039027;9.101316E-05;0;8.2134133E-05;1.1165537E-05;5.2836526E-06;1.3836593E-05;0.0002034330756;0.0036141871;0;0.0002237708;9.8803681E-05;2.0307887E-05;9.3330378E-05;0.004050399846;0.027599986;0;0.0021237392;0.0010764117;0.00016581003;0.00021550056;0.03118144749;3.721855;0;0.63224937;0.86375189;0.09257857;0.37090746;5.68134229;33.11881;0;1.3631515;1.74514;0.097344643;0.049275629;36.373721772;4.9816296;0;0.26246869;0.0083897955;0.036826831;0.002806341;5.2921212575;1.8648139;0;6.1663413;2.4835978;1.9883365;0.05001923;12.55310873;0.0024799896;0;0.001150324;0.00058267086;0.00054959731;1.6242844E-05;0.004778824614;3.75;2.74;3.62;4.33;4.33
11032;11032;aides culinaires et ingrédients divers;herbes;Basilic. séché;Basil. dried;3.75;Basilic. séché (11032);0.32907676;0;0.050708751;0.014027202;0.0045028964;0;0.3983156094;0.88293631;0;0.47839023;0.17575;0.015708527;0;1.552785067;5.6576391E-08;0;6.7746599E-08;4.0917642E-08;1.6488507E-09;0;1.668894827E-07;0.032139054;0;0.05328769;0.01389354;0.069636646;0;0.16895693;0.0044629956;0;0.0020115894;0.00043854335;3.7902394E-05;0;0.006951030744;0.00018099188;0;6.0230942E-05;1.425578E-05;7.2358885E-07;0;0.00025620219085;2.9955899E-05;0;5.9334812E-06;1.7193614E-06;3.2628782E-07;0;3.793502942E-05;0.00016929121;0;2.2338868E-05;6.8405996E-06;1.4867162E-06;0;0.0001999573938;0.025620023;0;0.0045130621;0.00051134338;7.4499442E-05;0;0.030718927922;0.00036114022;0;7.7328017E-05;1.1920458E-05;4.2269221E-06;0;0.0004546156171;0.014341094;0;0.00066558335;0.00010624724;1.624631E-05;0;0.0151291709;0.10951674;0;0.0075128455;0.0011577273;0.00013264803;0;0.11831996083;14.768321;0;2.5875691;0.9316715;0.074062856;0;18.361624456;131.41544;0;4.9600183;1.8815383;0.077875714;0;138.334872314;19.767106;0;0.1027791;0.0090441062;0.029461465;0;19.9083906712;7.3995817;0;6.9527313;2.678601;1.5906692;0;18.6215832;0.0098405988;0;0.0034641284;0.00062788317;0.00043967784;0;0.01437228821;3.75;2.74;3.62;4.33;4.33
