Code AGB;Code CIQUAL;Groupe d'aliment;Sous-groupe d'aliment;Nom du Produit en Français;LCI Name;code saison;code avion;Livraison;Matériau d'emballage;Préparation;DQR;Score unique EF 3.1;Changement climatique;Appauvrissement de la couche d'ozone;Rayonnements ionisants;Formation photochimique d'ozone;Particules fines;Effets toxicologiques sur la santé humaine : substances non-cancérogènes;Effets toxicologiques sur la santé humaine : substances cancérogènes;Acidification terrestre et eaux douces;Eutrophisation eaux douces;Eutrophisation marine;Eutrophisation terrestre;Écotoxicité pour écosystèmes aquatiques d'eau douce;Utilisation du sol;Épuisement des ressources eau;Épuisement des ressources énergétiques;Épuisement des ressources minéraux
11084;11084;aides culinaires et ingrédients divers;algues;Agar (algue), cru;Seaweed, agar, raw;2;0;Ambiant (long);LDPE;Pas de préparation;2.99;1.23E+00;6.77E+00;1.02E-06;1.11E+01;3.89E-02;7.17E-07;7.44E-08;6.48E-09;9.97E-02;1.87E-03;1.33E-02;1.27E-01;4.46E+01;2.65E+01;3.10E+00;3.15E+02;8.76E-05
11023;11023;aides culinaires et ingrédients divers;herbes;Ail séché, poudre;Garlic, powder, dried;2;0;Ambiant (long);Verre;Pas de préparation;4.11;1.03E-01;7.49E-01;1.23E-07;1.71E-01;2.93E-03;8.25E-08;1.17E-08;4.66E-10;6.22E-03;1.24E-04;2.32E-03;1.27E-02;5.83E+00;2.02E+01;2.52E+00;1.27E+01;6.60E-06
11000;11000;aides culinaires et ingrédients divers;herbes;Ail, cru;Garlic, fresh;2;0;Ambiant (long);Pas d'emballage;Pas de préparation;3.54;6.38E-02;3.56E-01;5.45E-08;1.43E-01;1.07E-03;2.33E-08;7.45E-09;2.98E-10;2.00E-03;6.79E-05;2.12E-03;6.28E-03;4.09E+00;1.85E+01;3.02E+00;6.23E+00;3.72E-06
11093;11093;aides culinaires et ingrédients divers;herbes;Aneth, frais;Dill, fresh;2;0;Ambiant (long);LDPE;Pas de préparation;3.75;1.32E-01;8.15E-01;6.27E-08;1.41E-01;2.56E-03;6.90E-08;1.20E-08;6.19E-10;8.11E-03;2.03E-04;4.05E-03;3.12E-02;5.68E+00;3.64E+01;5.29E+00;1.26E+01;4.78E-06
20995;20995;aides culinaires et ingrédients divers;algues;Ao-nori (Enteromorpha sp.), séchée ou déshydratée;Sea lettuce (Enteromorpha sp.), dried or dehydrated;2;0;Ambiant (long);LDPE;Pas de préparation;2.99;1.23E+00;6.77E+00;1.02E-06;1.11E+01;3.89E-02;7.17E-07;7.44E-08;6.48E-09;9.97E-02;1.87E-03;1.33E-02;1.27E-01;4.46E+01;2.65E+01;3.10E+00;3.15E+02;8.76E-05
20998;20998;aides culinaires et ingrédients divers;algues;Ascophylle noueux ou goémon noir (Ascophyllum nodosum), séché ou déshydraté;North Atlantic rockweed (Ascophyllum nodosum), dried or dehydrated;2;0;Ambiant (long);LDPE;Pas de préparation;2.99;1.21E+00;6.58E+00;9.80E-07;1.10E+01;3.49E-02;7.11E-07;7.36E-08;6.37E-09;9.42E-02;1.86E-03;1.19E-02;1.12E-01;4.38E+01;2.60E+01;3.10E+00;3.13E+02;8.73E-05
37000;37000;aides culinaires et ingrédients divers;ingrédients divers;Base de pizza à la crème;cream sauce for pizza base;2;0;Ambiant (long);Carton;Pas de préparation;2.89;2.23E-01;1.98E+00;1.05E-07;7.30E-01;3.77E-03;1.44E-07;4.78E-08;1.47E-09;1.93E-02;3.12E-04;6.73E-03;7.93E-02;1.99E+01;9.92E+01;4.55E-01;2.34E+01;1.71E-05
37002;37002;aides culinaires et ingrédients divers;ingrédients divers;Base de pizza tomatée;Tomato sauce for pizza base;2;0;Ambiant (long);Carton;Pas de préparation;3.19;1.47E-01;7.21E-01;1.13E-07;5.70E-01;2.90E-03;7.22E-08;4.03E-08;1.02E-09;8.00E-03;1.79E-04;4.17E-03;3.02E-02;1.01E+01;6.11E+01;3.86E+00;2.14E+01;6.97E-06
11033;11033;aides culinaires et ingrédients divers;herbes;Basilic, frais;Basil, fresh;2;0;Ambiant (long);LDPE;Pas de préparation;3.75;1.32E-01;8.15E-01;6.27E-08;1.41E-01;2.56E-03;6.90E-08;1.20E-08;6.19E-10;8.11E-03;2.03E-04;4.05E-03;3.12E-02;5.68E+00;3.64E+01;5.29E+00;1.26E+01;4.78E-06
11032;11032;aides culinaires et ingrédients divers;herbes;Basilic, séché;Basil, dried;2;0;Ambiant (long);Verre;Pas de préparation;3.75;3.98E-01;1.55E+00;1.67E-07;1.69E-01;6.95E-03;2.56E-07;3.79E-08;2.00E-09;3.07E-02;4.55E-04;1.51E-02;1.18E-01;1.84E+01;1.38E+02;1.99E+01;1.86E+01;1.44E-05
11507;11507;aides culinaires et ingrédients divers;ingrédients divers;Bicarbonate de soude;Sodium bicarbonate;2;0;Ambiant (long);Carton;Pas de préparation;2.97;2.22E-01;1.13E+00;9.06E-08;1.69E-01;3.78E-03;1.20E-07;3.10E-08;1.47E-09;1.53E-02;5.98E-04;1.56E-03;4.22E-02;8.36E+01;1.60E+01;2.02E+00;1.47E+01;4.83E-05
11025;11025;aides culinaires et ingrédients divers;épices;Cannelle, poudre;Cinnamon, powder;2;0;Ambiant (long);Verre;Pas de préparation;3.37;1.42E+00;9.19E+00;8.06E-07;8.47E-01;3.57E-02;1.33E-06;1.12E-07;3.92E-09;9.58E-02;1.59E-03;6.99E-02;5.80E-01;1.64E+02;6.99E+02;1.92E+01;8.73E+01;1.29E-04
11075;11075;aides culinaires et ingrédients divers;épices;Cardamome, poudre;Cardamom, powder;2;0;Ambiant (long);Verre;Pas de préparation;4.31;1.42E+00;9.19E+00;8.06E-07;8.47E-01;3.57E-02;1.33E-06;1.12E-07;3.92E-09;9.58E-02;1.59E-03;6.99E-02;5.80E-01;1.64E+02;6.99E+02;1.92E+01;8.73E+01;1.29E-04
11064;11064;aides culinaires et ingrédients divers;épices;Carvi, graine;Caraway, seed;2;0;Ambiant (long);Verre;Pas de préparation;3.95;1.42E+00;9.19E+00;8.06E-07;8.47E-01;3.57E-02;1.33E-06;1.12E-07;3.92E-09;9.58E-02;1.59E-03;6.99E-02;5.80E-01;1.64E+02;6.99E+02;1.92E+01;8.73E+01;1.29E-04
11002;11002;aides culinaires et ingrédients divers;herbes;Cerfeuil, frais;Chervil, fresh;2;0;Ambiant (long);LDPE;Pas de préparation;3.95;1.32E-01;8.15E-01;6.27E-08;1.41E-01;2.56E-03;6.90E-08;1.20E-08;6.19E-10;8.11E-03;2.03E-04;4.05E-03;3.12E-02;5.68E+00;3.64E+01;5.29E+00;1.26E+01;4.78E-06
11003;11003;aides culinaires et ingrédients divers;herbes;Ciboule ou Ciboulette, fraîche;Chive or spring onion, fresh;2;0;Ambiant (long);LDPE;Pas de préparation;3.75;9.00E-02;6.75E-01;6.00E-08;1.75E-01;1.87E-03;3.12E-08;9.01E-09;3.85E-10;2.92E-03;1.49E-04;2.32E-03;8.08E-03;4.67E+00;1.97E+01;3.28E+00;1.22E+01;4.84E-06
11052;11052;aides culinaires et ingrédients divers;épices;Clou de girofle;Cloves;2;0;Ambiant (long);Verre;Pas de préparation;3.56;1.42E+00;9.18E+00;8.05E-07;8.47E-01;3.57E-02;1.33E-06;1.12E-07;3.92E-09;9.57E-02;1.58E-03;6.99E-02;5.79E-01;1.64E+02;6.98E+02;1.92E+01;8.72E+01;1.29E-04
11094;11094;aides culinaires et ingrédients divers;herbes;Coriandre, fraiche;Coriander, fresh;2;0;Ambiant (long);LDPE;Pas de préparation;3.75;1.10E-01;9.73E-01;9.14E-08;1.38E-01;3.97E-03;4.54E-08;1.48E-08;4.42E-10;5.69E-03;1.70E-04;4.37E-03;1.67E-02;2.41E+01;1.28E+01;1.45E+00;1.47E+01;6.84E-06
11026;11026;aides culinaires et ingrédients divers;épices;Coriandre, graine;Coriander, seed;2;0;Ambiant (long);Verre;Pas de préparation;3.75;1.31E-01;1.10E+00;1.55E-07;1.56E-01;4.98E-03;9.80E-08;1.82E-08;5.63E-10;8.96E-03;1.64E-04;4.45E-03;2.12E-02;2.41E+01;1.60E+01;1.21E+00;1.61E+01;8.92E-06
11172;11172;aides culinaires et ingrédients divers;aides culinaires;Court-bouillon pour poissons, déshydraté;Aromatic stock cube, for fish, dehydrated;2;0;Ambiant (long);Aluminium;Pas de préparation;3.55;2.08E+00;9.43E+00;8.60E-07;3.04E+01;2.81E-02;5.86E-07;2.14E-07;7.47E-09;6.99E-02;2.82E-03;2.99E-02;1.88E-01;6.51E+01;1.15E+02;9.13E+00;7.11E+02;6.01E-05
39700;39700;aides culinaires et ingrédients divers;sauces;Crème anglaise, préemballée;Light custard cream with vanilla, prepacked;2;0;Glacé;PVC;Pas de préparation;1.78;2.19E-01;1.75E+00;1.76E-07;7.62E-01;3.84E-03;1.58E-07;3.87E-08;1.25E-09;2.16E-02;2.73E-04;6.60E-03;9.00E-02;2.36E+01;8.10E+01;1.22E+00;2.55E+01;8.54E-06
11042;11042;aides culinaires et ingrédients divers;épices;Cumin, graine;Cumin, seed;2;0;Ambiant (long);Verre;Pas de préparation;3.75;1.42E+00;9.19E+00;8.06E-07;8.47E-01;3.57E-02;1.33E-06;1.12E-07;3.92E-09;9.58E-02;1.59E-03;6.99E-02;5.80E-01;1.64E+02;6.99E+02;1.92E+01;8.73E+01;1.29E-04
11089;11089;aides culinaires et ingrédients divers;épices;Curcuma, poudre;Turmeric, powder;2;0;Ambiant (long);Verre;Pas de préparation;4.31;1.42E+00;9.19E+00;8.06E-07;8.47E-01;3.57E-02;1.33E-06;1.12E-07;3.92E-09;9.58E-02;1.59E-03;6.99E-02;5.80E-01;1.64E+02;6.99E+02;1.92E+01;8.73E+01;1.29E-04
11005;11005;aides culinaires et ingrédients divers;épices;Curry, poudre;Curry, powder;2;0;Ambiant (long);Verre;Pas de préparation;4.11;1.42E+00;9.19E+00;8.06E-07;8.47E-01;3.57E-02;1.33E-06;1.12E-07;3.92E-09;9.58E-02;1.59E-03;6.99E-02;5.80E-01;1.64E+02;6.99E+02;1.92E+01;8.73E+01;1.29E-04
20988;20988;aides culinaires et ingrédients divers;algues;Dulse (Palmaria palmata), séchée ou déshydratée;Dulse (Palmaria palmata), dried or dehydrated;2;0;Ambiant (long);LDPE;Pas de préparation;2.99;1.21E+00;6.58E+00;9.80E-07;1.10E+01;3.49E-02;7.11E-07;7.36E-08;6.37E-09;9.42E-02;1.86E-03;1.19E-02;1.12E-01;4.38E+01;2.60E+01;3.10E+00;3.13E+02;8.73E-05
11092;11092;aides culinaires et ingrédients divers;herbes;Estragon, frais;Tarragon, fresh;2;0;Ambiant (long);LDPE;Pas de préparation;3.75;1.15E-01;6.91E-01;5.49E-08;1.24E-01;2.21E-03;6.04E-08;1.02E-08;5.36E-10;7.12E-03;1.72E-04;3.52E-03;2.73E-02;4.82E+00;3.20E+01;4.66E+00;1.10E+01;4.20E-06
11066;11066;aides culinaires et ingrédients divers;épices;Fenouil, graine;Fennel, seed;2;0;Ambiant (long);Verre;Pas de préparation;4.14;1.31E-01;1.10E+00;1.55E-07;1.56E-01;4.98E-03;9.80E-08;1.82E-08;5.63E-10;8.96E-03;1.64E-04;4.45E-03;2.12E-02;2.41E+01;1.60E+01;1.21E+00;1.61E+01;8.92E-06
11077;11077;aides culinaires et ingrédients divers;épices;Fenugrec, graine;Fenugreek, seed;2;0;Ambiant (long);Verre;Pas de préparation;3.75;1.42E+00;9.19E+00;8.06E-07;8.47E-01;3.57E-02;1.33E-06;1.12E-07;3.92E-09;9.58E-02;1.59E-03;6.99E-02;5.80E-01;1.64E+02;6.99E+02;1.92E+01;8.73E+01;1.29E-04
11082;11082;aides culinaires et ingrédients divers;sels;Fleur de sel, non iodée, non fluorée;Pure sea salt, no enrichment;2;0;Ambiant (long);PVC;Pas de préparation;2.02;7.94E-02;6.06E-01;1.15E-07;1.72E-01;1.88E-03;3.57E-08;1.33E-08;6.06E-10;3.17E-03;2.13E-04;7.15E-04;6.38E-03;7.03E+00;3.90E+00;4.14E-01;1.08E+01;1.75E-05
20994;20994;aides culinaires et ingrédients divers;algues;Fucus vésiculeux (Fucus serratus ou Fucus vesiculosus), séché ou déshydraté;Toothed wrack or bladder wrack (Fucus serratus et vesiculosus), dried or dehydrated;2;0;Ambiant (long);LDPE;Pas de préparation;2.99;1.21E+00;6.58E+00;9.80E-07;1.10E+01;3.49E-02;7.11E-07;7.36E-08;6.37E-09;9.42E-02;1.86E-03;1.19E-02;1.12E-01;4.38E+01;2.60E+01;3.10E+00;3.13E+02;8.73E-05
11007;11007;aides culinaires et ingrédients divers;ingrédients divers;Gélatine, sèche;Gelatine, dried;2;0;Ambiant (long);Carton;Pas de préparation;2.83;2.50E-01;1.78E+00;1.05E-07;7.19E-01;3.84E-03;2.38E-07;2.40E-08;1.43E-09;3.22E-02;2.99E-04;7.81E-03;1.39E-01;2.67E+01;9.74E+01;1.17E+00;2.29E+01;6.48E-06
11006;11006;aides culinaires et ingrédients divers;épices;Gingembre, poudre;Ginger, powder;2;0;Ambiant (long);Verre;Pas de préparation;4.31;1.32E-01;9.83E-01;1.58E-07;1.55E-01;5.70E-03;1.16E-07;3.18E-08;8.15E-10;1.28E-02;1.49E-04;3.50E-03;3.68E-02;8.12E+00;1.82E+01;1.55E+00;1.48E+01;6.40E-06
11074;11074;aides culinaires et ingrédients divers;épices;Gingembre, racine crue;Ginger, raw;2;0;Ambiant (long);Pas d'emballage;Pas de préparation;3.73;7.69E-02;4.54E-01;7.81E-08;9.73E-02;3.56E-03;5.19E-08;2.54E-08;5.72E-10;8.10E-03;6.82E-05;2.80E-03;2.89E-02;5.27E+00;1.27E+01;1.45E+00;7.10E+00;2.75E-06
20993;20993;aides culinaires et ingrédients divers;algues;Gracilaire ou ogonori (Gracilaria verrucosa), séchée ou déshydratée;Gracilaria seaweeds (Gracilaria verrucosa), dried or dehydrated;2;0;Ambiant (long);LDPE;Pas de préparation;2.99;1.23E+00;6.77E+00;1.02E-06;1.11E+01;3.89E-02;7.17E-07;7.44E-08;6.48E-09;9.97E-02;1.87E-03;1.33E-02;1.27E-01;4.46E+01;2.65E+01;3.10E+00;3.15E+02;8.76E-05
25620;25620;aides culinaires et ingrédients divers;sauces;Guacamole, préemballé;Guacamole, prepacked;2;0;Glacé;PVC;Pas de préparation;2.51;3.25E-01;1.47E+00;2.13E-07;7.10E-01;5.63E-03;7.76E-08;5.81E-08;1.04E-09;1.09E-02;2.86E-04;8.31E-03;3.49E-02;2.82E+01;7.75E+01;1.89E+01;2.80E+01;1.51E-05
20992;20992;aides culinaires et ingrédients divers;algues;Haricot de mer (Himanthalia elongata), séchée ou déshydratée;Sea thong (Himanthalia elongata), dried or dehydrated;2;0;Ambiant (long);LDPE;Pas de préparation;2.99;1.21E+00;6.58E+00;9.80E-07;1.10E+01;3.49E-02;7.11E-07;7.36E-08;6.37E-09;9.42E-02;1.86E-03;1.19E-02;1.12E-01;4.38E+01;2.60E+01;3.10E+00;3.13E+02;8.73E-05
11112;11112;aides culinaires et ingrédients divers;sauces;Harissa (sauce condimentaire);Harissa (hot spicy sauce), prepacked;2;0;Glacé;PVC;Pas de préparation;2.98;2.90E-01;1.42E+00;2.30E-07;7.95E-01;6.27E-03;1.37E-07;8.23E-08;1.88E-09;1.79E-02;4.86E-04;8.18E-03;6.54E-02;2.78E+01;1.78E+02;7.56E+00;3.38E+01;1.55E-05
11060;11060;aides culinaires et ingrédients divers;herbes;Herbes de Provence, séchées;Provence herbs, dried;2;0;Ambiant (long);Verre;Pas de préparation;3.13;4.02E-01;1.56E+00;1.68E-07;1.69E-01;7.00E-03;2.58E-07;3.82E-08;2.02E-09;3.10E-02;4.58E-04;1.53E-02;1.19E-01;1.85E+01;1.40E+02;2.01E+01;1.87E+01;1.45E-05
25621;25621;aides culinaires et ingrédients divers;sauces;Houmous;Hummus;2;0;Glacé;PVC;Pas de préparation;2.95;1.76E-01;9.54E-01;1.84E-07;6.87E-01;4.25E-03;7.64E-08;3.14E-08;1.48E-09;1.09E-02;3.15E-04;8.66E-03;4.07E-02;2.11E+01;1.23E+02;2.56E+00;2.41E+01;8.12E-06
11008;11008;aides culinaires et ingrédients divers;sauces;Ketchup;Ketchup;2;0;Glacé;PVC;Pas de préparation;2.76;1.47E-01;9.46E-01;1.85E-07;7.48E-01;3.02E-03;6.83E-08;2.95E-08;8.75E-10;7.68E-03;1.76E-04;3.74E-03;2.71E-02;1.05E+01;1.95E+01;2.32E+00;2.66E+01;1.06E-05
20991;20991;aides culinaires et ingrédients divers;algues;Kombu breton (Laminaria digitata), séchée ou déshydratée;Tangle (Laminaria digitata), dried or dehydrated;2;0;Ambiant (long);LDPE;Pas de préparation;2.60;1.21E+00;6.58E+00;9.80E-07;1.10E+01;3.49E-02;7.11E-07;7.36E-08;6.37E-09;9.42E-02;1.86E-03;1.19E-02;1.12E-01;4.38E+01;2.60E+01;3.10E+00;3.13E+02;8.73E-05
20990;20990;aides culinaires et ingrédients divers;algues;Kombu ou kombu japonais (Laminaria japonica), séchée ou déshydratée;Kombu or Japanese kelp (Laminaria japonica), dried or dehydrated;2;0;Ambiant (long);LDPE;Pas de préparation;2.99;1.23E+00;6.77E+00;1.02E-06;1.11E+01;3.89E-02;7.17E-07;7.44E-08;6.48E-09;9.97E-02;1.87E-03;1.33E-02;1.27E-01;4.46E+01;2.65E+01;3.10E+00;3.15E+02;8.76E-05
20986;20986;aides culinaires et ingrédients divers;algues;Kombu royal (Saccharina latissima), séchée ou déshydratée;Sea belt (Saccharina latissima), dried or dehydrated;2;0;Ambiant (long);LDPE;Pas de préparation;2.99;1.23E+00;6.77E+00;1.02E-06;1.11E+01;3.89E-02;7.17E-07;7.44E-08;6.48E-09;9.97E-02;1.87E-03;1.33E-02;1.27E-01;4.46E+01;2.65E+01;3.10E+00;3.15E+02;8.76E-05
20985;20985;aides culinaires et ingrédients divers;algues;Laitue de mer (Ulva sp.), séchée ou déshydratée;Sea lettuce (ulva sp.), dried or dehydrated);2;0;Ambiant (long);LDPE;Pas de préparation;2.99;1.21E+00;6.58E+00;9.80E-07;1.10E+01;3.49E-02;7.11E-07;7.36E-08;6.37E-09;9.42E-02;1.86E-03;1.19E-02;1.12E-01;4.38E+01;2.60E+01;3.10E+00;3.13E+02;8.73E-05
11053;11053;aides culinaires et ingrédients divers;épices;Laurier, feuille;Bay, leaves;2;0;Ambiant (long);Verre;Pas de préparation;4.31;1.36E-01;8.48E-01;1.22E-07;1.43E-01;3.39E-03;1.12E-07;1.40E-08;6.48E-10;1.03E-02;1.66E-04;3.68E-03;3.09E-02;6.57E+00;3.34E+01;4.13E+00;1.27E+01;6.52E-06
42200;42200;aides culinaires et ingrédients divers;ingrédients divers;Lécithine de soja;Soy lecithin;2;0;Ambiant (long);Carton;Pas de préparation;3.47;4.97E-01;6.05E+00;2.75E-07;2.29E-01;2.03E-02;1.68E-07;3.07E-07;6.31E-09;2.15E-02;1.83E-03;2.25E-02;7.35E-02;1.09E+02;3.36E+02;4.65E-01;2.34E+01;1.37E-05
