RunID,TotalCS,TokenSum,TokenAverage,TokenMode,TokenMedian,RequestSum,RequestAverage,RequestMode,RequestMedian,Node0_Requests,Node1_Requests,Node2_Requests,Node3_Requests,Node4_Requests,Node5_Requests,Node6_Requests,Node7_Requests,Node8_Requests,Node9_Requests,Node0_AvgTime,Node1_AvgTime,Node2_AvgTime,Node3_AvgTime,Node4_AvgTime,Node5_AvgTime,Node6_AvgTime,Node7_AvgTime,Node8_AvgTime,Node9_AvgTime,AllNodes_AvgTime,AllNodes_ModeTime,AllNodes_MedianTime,AllNodes_TotalTime,Token_InUse_Percentage,Token_InTransit_Percentage,Token_Unused_Percentage
1732977024354,201,199,0.99,1,1.00,437,2.17,2,2.00,21,22,20,19,22,22,20,22,21,21,2271.15,2146.38,2415.21,2478.79,2196.90,2205.24,2363.74,2217.76,2299.40,2246.10,2280.21,2349,2345.00,458322,19.84,79.37,0.79
1732977026687,201,199,0.99,1,1.00,437,2.17,2,2.00,21,22,21,20,21,22,20,22,20,22,2270.50,2216.10,2247.55,2414.58,2297.05,2143.19,2360.79,2193.10,2474.47,2201.00,2277.96,2344,2343.00,457870,19.73,79.63,0.63
1732977028626,201,199,0.99,1,1.00,429,2.13,2,2.00,21,20,22,20,20,21,21,22,21,22,2282.50,2426.63,2156.48,2465.26,2346.35,2260.85,2235.05,2134.57,2308.10,2202.38,2278.43,2343,2343.00,457965,19.98,79.82,0.20
1732977030284,201,199,0.99,1,1.00,425,2.11,2,2.00,21,22,20,21,22,21,21,20,22,20,2247.80,2194.38,2388.58,2274.55,2206.86,2299.35,2237.50,2416.58,2216.19,2346.35,2280.47,2351,2346.00,458375,19.88,79.90,0.21
1732977032404,201,199,0.99,1,1.00,421,2.09,2,2.00,23,21,21,21,21,21,20,21,20,21,2110.45,2261.55,2228.43,2311.00,2285.65,2238.65,2427.79,2248.90,2402.68,2323.25,2280.53,2341,2346.00,458386,19.76,80.03,0.22
1732977041944,199,198,0.99,1,1.00,435,2.19,2,2.00,20,20,21,21,21,20,21,21,21,22,2298.84,2308.68,2232.75,2136.00,2126.19,2346.21,2192.65,2158.95,2147.85,2090.48,2201.18,2251,2250.00,438035,19.71,79.16,1.13
1732977043464,200,199,1.00,1,1.00,437,2.19,2,2.00,20,22,20,21,21,21,21,21,20,21,2294.37,2090.86,2303.74,2228.30,2137.05,2123.71,2189.90,2140.05,2346.16,2155.55,2198.01,2252,2246.00,439601,19.86,79.58,0.55
1732977045405,200,199,1.00,1,1.00,439,2.20,2,2.00,21,20,21,21,21,21,22,20,21,21,2238.45,2251.15,2164.75,2178.15,2149.45,2142.85,2110.14,2327.79,2212.95,2188.85,2195.37,2236,2243.00,439073,17.09,82.49,0.42
1732977047374,200,199,1.00,1,1.00,437,2.19,2,2.00,20,22,21,21,21,20,20,21,21,22,2290.42,2123.48,2135.29,2136.75,2230.65,2343.68,2305.63,2191.90,2151.45,2088.00,2196.76,2244,2244.00,439352,17.90,81.48,0.62
1732977049494,200,199,1.00,1,1.00,440,2.20,2,2.00,21,22,21,21,20,21,21,21,20,21,2233.40,2108.62,2152.65,2163.90,2328.74,2137.75,2211.10,2186.85,2250.00,2176.00,2193.80,2240,2242.00,438760,17.06,82.37,0.57
1732977054276,199,198,0.99,1,1.00,446,2.24,2,2.00,21,21,21,21,20,21,22,20,20,21,2031.70,2115.35,2108.80,2077.70,2186.47,2091.60,2012.00,2179.11,2142.90,2069.65,2100.26,2138,2143.00,417952,14.04,85.07,0.89
