Task,Execution Time,Memory Usage,Book,nbCharacter
EgrepLike,3954,376,10122.txt,68213
KMP,1115,204,10122.txt,68213
Egrep,2842,34,10122.txt,68213
EgrepLike,3430,882,10123.txt,315270
KMP,2167,634,10123.txt,315270
Egrep,602,60,10123.txt,315270
EgrepLike,2210,709,10124.txt,268928
KMP,706,552,10124.txt,268928
Egrep,654,70,10124.txt,268928
EgrepLike,3193,1079,10125.txt,517080
KMP,1323,942,10125.txt,517080
Egrep,612,81,10125.txt,517080
EgrepLike,2297,834,10126.txt,371283
KMP,1099,693,10126.txt,371283
Egrep,677,70,10126.txt,371283
EgrepLike,1332,536,10127.txt,197264
KMP,654,548,10127.txt,197264
Egrep,613,124,10127.txt,197264
EgrepLike,5352,1766,10128.txt,936068
KMP,2176,1659,10128.txt,936068
Egrep,959,148,10128.txt,936068
EgrepLike,3834,1236,10129.txt,662014
KMP,1561,1218,10129.txt,662014
Egrep,631,137,10129.txt,662014
EgrepLike,6866,2303,10130.txt,1176619
KMP,2866,2185,10130.txt,1176619
Egrep,646,138,10130.txt,1176619
EgrepLike,1187,702,10131.txt,198807
KMP,507,554,10131.txt,198807
Egrep,657,141,10131.txt,198807
EgrepLike,3770,1412,10132.txt,634323
KMP,1467,1286,10132.txt,634323
Egrep,621,144,10132.txt,634323
EgrepLike,685,428,10133.txt,104294
KMP,244,285,10133.txt,104294
Egrep,612,145,10133.txt,104294
EgrepLike,2493,901,10134.txt,426715
KMP,949,774,10134.txt,426715
Egrep,857,173,10134.txt,426715
EgrepLike,2873,1105,10135.txt,513282
KMP,1141,960,10135.txt,513282
Egrep,579,162,10135.txt,513282
EgrepLike,3756,1086,10138.txt,518893
KMP,1165,949,10138.txt,518893
Egrep,709,159,10138.txt,518893
EgrepLike,3698,961,10139.txt,510866
KMP,2483,973,10139.txt,510866
Egrep,589,162,10139.txt,510866
EgrepLike,3717,756,10140-0.txt,310471
KMP,1878,571,10140-0.txt,310471
Egrep,607,144,10140-0.txt,310471
EgrepLike,659,428,10141.txt,102762
KMP,268,285,10141.txt,102762
Egrep,614,144,10141.txt,102762
EgrepLike,2131,881,10142.txt,378473
KMP,1043,739,10142.txt,378473
Egrep,736,149,10142.txt,378473
EgrepLike,566,295,10143.txt,91439
KMP,253,295,10143.txt,91439
Egrep,656,149,10143.txt,91439
EgrepLike,814,443,10144.txt,137079
KMP,354,295,10144.txt,137079
Egrep,628,149,10144.txt,137079
EgrepLike,951,443,10145.txt,156158
KMP,420,295,10145.txt,156158
Egrep,606,150,10145.txt,156158
EgrepLike,1586,603,10146.txt,275088
KMP,750,600,10146.txt,275088
Egrep,653,152,10146.txt,275088
EgrepLike,7845,2369,10147.txt,1241768
KMP,3783,2297,10147.txt,1241768
Egrep,679,163,10147.txt,1241768
EgrepLike,3475,1233,10148.txt,622529
KMP,1706,1078,10148.txt,622529
Egrep,590,156,10148.txt,622529
EgrepLike,5605,1797,10149.txt,927443
KMP,2680,1730,10149.txt,927443
Egrep,666,159,10149.txt,927443
EgrepLike,5380,1787,10151.txt,923094
KMP,2511,1548,10151.txt,923094
Egrep,624,142,10151.txt,923094
EgrepLike,1489,561,10159.txt,242918
KMP,628,541,10159.txt,242918
Egrep,835,138,10159.txt,242918
EgrepLike,4070,1567,10161.txt,656923
KMP,2047,1424,10161.txt,656923
Egrep,595,160,10161.txt,656923
EgrepLike,3257,1061,10162.txt,561841
KMP,1685,1006,10162.txt,561841
Egrep,641,145,10162.txt,561841
EgrepLike,1374,564,10163.txt,229002
KMP,583,538,10163.txt,229002
Egrep,583,137,10163.txt,229002
EgrepLike,1441,709,10164.txt,261927
KMP,723,569,10164.txt,261927
Egrep,648,144,10164.txt,261927
EgrepLike,2976,1049,10166.txt,497491
KMP,1524,928,10166.txt,497491
Egrep,655,157,10166.txt,497491
EgrepLike,2771,947,10202.txt,477858
KMP,1354,966,10202.txt,477858
Egrep,569,162,10202.txt,477858
EgrepLike,3318,1134,10210.txt,550496
KMP,1584,1081,10210.txt,550496
Egrep,588,137,10210.txt,550496
EgrepLike,1698,718,10211.txt,277193
KMP,718,574,10211.txt,277193
Egrep,572,146,10211.txt,277193
EgrepLike,1704,692,10212.txt,312136
KMP,788,587,10212.txt,312136
Egrep,711,149,10212.txt,312136
EgrepLike,3632,1236,10213.txt,652551
KMP,1876,1275,10213.txt,652551
Egrep,597,148,10213.txt,652551
EgrepLike,1530,583,10214.txt,257997
KMP,643,563,10214.txt,257997
Egrep,579,143,10214.txt,257997
EgrepLike,1022,545,10216.txt,173864
KMP,548,386,10216.txt,173864
Egrep,569,131,10216.txt,173864
EgrepLike,1273,516,10217.txt,222487
